科目编码,科目名称,助记码,科目类别：.名称,余额方向,现金科目,银行科目,现金等价物,数量核算,计量单位.名称,外币核算,币别,期末调汇,辅助核算,辅助核算项目,是否必录,借方现金流量项目：.名称,贷方现金流量项目：.名称,启用状态,不允许手工录入凭证,洗件判定
1408,委托加工物资,wtjgwz,流动资产,借,否,否,否,否,,否,,否,否,,,购买原材料、商品、接受劳务支付的现金,购买原材料、商品、接受劳务支付的现金,启用,否,保留
1411,周转材料,zzcl,流动资产,借,否,否,否,否,,否,,否,否,,,购买原材料、商品、接受劳务支付的现金,购买原材料、商品、接受劳务支付的现金,启用,否,保留
1421,消耗性生物资产,xhxswzc,流动资产,借,否,否,否,否,,否,,否,否,,,购买原材料、商品、接受劳务支付的现金,购买原材料、商品、接受劳务支付的现金,启用,否,保留
1501,长期债券投资,cqzqtz,非流动资产,借,否,否,否,否,,否,,否,否,,,短期投资、长期债券投资和长期股权投资支付的现金,收回短期投资、长期债券投资和长期股权投资收到的现金,启用,否,保留
1501001,债券投资,zqtz,非流动资产,借,否,否,否,否,,否,,否,否,,,短期投资、长期债券投资和长期股权投资支付的现金,收回短期投资、长期债券投资和长期股权投资收到的现金,启用,否,保留
1501001001,123,123,非流动资产,借,否,否,否,否,,否,,否,是,客户/供应商/部门/职员/商品/仓库/品牌/收入类别/支出类别/账户/检验方式/有票无票,非必录/非必录/非必录/非必录/非必录/非必录/非必录/非必录/非必录/非必录/非必录/非必录,短期投资、长期债券投资和长期股权投资支付的现金,收回短期投资、长期债券投资和长期股权投资收到的现金,启用,否,保留
1501002,其他债权投资,qtzqtz,非流动资产,借,否,否,否,否,,否,,否,否,,,短期投资、长期债券投资和长期股权投资支付的现金,收回短期投资、长期债券投资和长期股权投资收到的现金,启用,否,保留
1511,长期股权投资,cqgqtz,非流动资产,借,否,否,否,否,,否,,否,否,,,短期投资、长期债券投资和长期股权投资支付的现金,收回短期投资、长期债券投资和长期股权投资收到的现金,启用,否,保留
1511001,股票投资,gptz,非流动资产,借,否,否,否,否,,否,,否,否,,,短期投资、长期债券投资和长期股权投资支付的现金,收回短期投资、长期债券投资和长期股权投资收到的现金,启用,否,保留
1511002,其他股权投资,qtgqtz,非流动资产,借,否,否,否,否,,否,,否,否,,,短期投资、长期债券投资和长期股权投资支付的现金,收回短期投资、长期债券投资和长期股权投资收到的现金,启用,否,保留
1601,固定资产,gdzc,非流动资产,借,否,否,否,否,,否,,否,否,,,购建固定资产、无形资产和其他非流动资产支付的现金,处置固定资产、无形资产和其他非流动资产收回的现金净额,启用,否,保留
1602,累计折旧,ljzj,非流动资产,贷,否,否,否,否,,否,,否,否,,,处置固定资产、无形资产和其他非流动资产收回的现金净额,购建固定资产、无形资产和其他非流动资产支付的现金,启用,否,保留
1604,在建工程,zjgc,非流动资产,借,否,否,否,否,,否,,否,否,,,购建固定资产、无形资产和其他非流动资产支付的现金,处置固定资产、无形资产和其他非流动资产收回的现金净额,启用,否,保留
1604001,建筑工程,jzgc,非流动资产,借,否,否,否,否,,否,,否,否,,,购建固定资产、无形资产和其他非流动资产支付的现金,处置固定资产、无形资产和其他非流动资产收回的现金净额,启用,否,保留
