科目编码,科目名称,English,会计要素,余额方向,上级编码,层级,现金科目,银行科目,现金等价物,期末调汇,外币核算类型,数量核算,系统预置,预置核算维度
2221.01.06,减免税款,Tax Deduction,流动负债,贷,2221.01,3,否,否,否,否,不核算外币,否,是,
2221.01.07,销项税额抵减,Output Tax Amount Credit,流动负债,贷,2221.01,3,否,否,否,否,不核算外币,否,是,
2221.01.08,出口抵减内销产品应纳税,Export Credit Against Tax Payable on Domestically Sold Products,流动负债,贷,2221.01,3,否,否,否,否,不核算外币,否,是,
2221.01.09,转出未交增值税,Transfer-Out of Unpaid VAT,流动负债,贷,2221.01,3,否,否,否,否,不核算外币,否,是,
2221.01.10,转出多交增值税,Transfer-Out of Overpaid VAT,流动负债,贷,2221.01,3,否,否,否,否,不核算外币,否,是,
2221.02,简易计税,Calculate Tax in Simplified Method,流动负债,贷,2221,2,否,否,否,否,不核算外币,否,是,
2221.03,预交增值税,VAT Prepaid,流动负债,贷,2221,2,否,否,否,否,不核算外币,否,是,
2221.04,代扣代交增值税,VAT Withholding,流动负债,贷,2221,2,否,否,否,否,不核算外币,否,是,
2221.05,转让金融商品应交增值税,VAT Payable for Trading of Financial Products,流动负债,贷,2221,2,否,否,否,否,不核算外币,否,是,
2221.06,待转销项税额,Output Tax Amount to Be Recognized,流动负债,贷,2221,2,否,否,否,否,不核算外币,否,是,
2221.07,待抵扣进项税额,Input Tax Amount to Be Deducted,流动负债,贷,2221,2,否,否,否,否,不核算外币,否,是,
2221.08,待认证进项税额,Input Tax Amount to Be Authenticated,流动负债,贷,2221,2,否,否,否,否,不核算外币,否,是,
2221.09,未交增值税,VAT Unpaid,流动负债,贷,2221,2,否,否,否,否,不核算外币,否,是,
2221.10,应交消费税,Consumption Tax Payable,流动负债,贷,2221,2,否,否,否,否,不核算外币,否,是,
2221.11,增值税留抵税额,VAT Tax Amount Credit Balance,流动负债,贷,2221,2,否,否,否,否,不核算外币,否,是,
2221.12,应交资源税,Resource Tax Payable,流动负债,贷,2221,2,否,否,否,否,不核算外币,否,是,
2221.13,应交所得税,Income Tax Payable,流动负债,贷,2221,2,否,否,否,否,不核算外币,否,是,
2221.14,应交土地增值税,Land VAT Payable,流动负债,贷,2221,2,否,否,否,否,不核算外币,否,是,
2221.15,应交城市维护建设税,Urban Maintenance and Construction Tax Payable,流动负债,贷,2221,2,否,否,否,否,不核算外币,否,是,
2221.16,应交房产税,Real Estate Tax Payable,流动负债,贷,2221,2,否,否,否,否,不核算外币,否,是,
2221.17,应交土地使用税,Land Use Tax Payable,流动负债,贷,2221,2,否,否,否,否,不核算外币,否,是,
2221.18,应交车船使用税,Vehicle and Vessel Use Tax Payable,流动负债,贷,2221,2,否,否,否,否,不核算外币,否,是,
2221.19,应交教育费附加,Tuition Surcharge Payable,流动负债,贷,2221,2,否,否,否,否,不核算外币,否,是,
2221.20,应交矿产资源补偿费,Mineral Resource Compensation Fee Payable,流动负债,贷,2221,2,否,否,否,否,不核算外币,否,是,
2221.21,代扣个人所得税,Individual Income Tax Withholding,流动负债,贷,2221,2,否,否,否,否,不核算外币,否,是,
2221.22,应交环境保护税,Environmental Protection Tax Payable,流动负债,贷,2221,2,否,否,否,否,不核算外币,否,是,
2221.23,应交印花税,Stamp Tax Payable,流动负债,贷,2221,2,否,否,否,否,不核算外币,否,是,
2231,应付利息,Interest Payable,流动负债,贷,,1,否,否,否,是,核算所有币种,否,是,
2232,应付股利,Dividends Payable,流动负债,贷,,1,否,否,否,是,核算所有币种,否,是,
2241,其他应付款,Other Payables,流动负债,贷,,1,否,否,否,是,核算所有币种,否,是,
2241.01,客户往来,Customer Transaction,流动负债,贷,2241,2,否,否,否,是,核算所有币种,否,是,客户(必录)
2241.02,供应商往来,Supplier Accounts Transaction,流动负债,贷,2241,2,否,否,否,是,核算所有币种,否,是,供应商(必录)
2241.03,员工往来,Employee Transaction,流动负债,贷,2241,2,否,否,否,是,核算所有币种,否,是,员工(必录)
2241.04,统支款,Unified Allocation,流动负债,贷,2241,2,否,否,否,是,核算所有币种,否,是,组织机构(必录)
2245,持有待售负债,Liabilities Held for Sale,流动负债,贷,,1,否,否,否,否,不核算外币,否,是,
2314,代理业务负债,Liabilities from Proxy Business,流动负债,贷,,1,否,否,否,是,核算所有币种,否,是,
2401,递延收益,Deferred Income,流动负债,贷,,1,否,否,否,是,核算所有币种,否,是,
2501,长期借款,Long-Term Loans,非流动负债,贷,,1,否,否,否,是,核算所有币种,否,是,
2502,应付债券,Bonds Payable,非流动负债,贷,,1,否,否,否,是,核算所有币种,否,是,
2601,租赁负债,Lease Liability,非流动负债,贷,,1,否,否,否,否,不核算外币,否,是,
2601.01,租赁付款额,Lease Payment,非流动负债,贷,2601,2,否,否,否,否,不核算外币,否,是,
2601.02,未确认融资费用,Unrecognized Financing Expense,非流动负债,贷,2601,2,否,否,否,否,不核算外币,否,是,
2701,长期应付款,Long-Term Payables,非流动负债,贷,,1,否,否,否,是,核算所有币种,否,是,
2702,未确认融资费用,Unrecognized Financing Expense,非流动负债,贷,,1,否,否,否,是,核算所有币种,否,是,
2801,预计负债,Estimated Liabilities,非流动负债,贷,,1,否,否,否,是,核算所有币种,否,是,
2901,递延所得税负债,Deferred Tax Liabilities,非流动负债,贷,,1,否,否,否,否,不核算外币,否,是,
3101,衍生工具,Derivative Tools,共同,借,,1,否,否,否,是,核算所有币种,否,是,
3201,套期工具,Hedging Tools,共同,借,,1,否,否,否,是,核算所有币种,否,是,
3202,被套期项目,Hedged Projects,共同,借,,1,否,否,否,是,核算所有币种,否,是,
4001,实收资本,Paid-in Capital,所有者权益,贷,,1,否,否,否,否,不核算外币,否,是,
4002,资本公积,Capital Reserve,所有者权益,贷,,1,否,否,否,否,不核算外币,否,是,
4003,其他综合收益,Other Comprehensive Income,所有者权益,贷,,1,否,否,否,否,不核算外币,否,是,
4101,盈余公积,Surplus Reserve,所有者权益,贷,,1,否,否,否,否,不核算外币,否,是,
4103,本年利润,Current Year Profit,所有者权益,贷,,1,否,否,否,否,不核算外币,否,是,
